Inlet TDS (g/kg),Flow (L/s),Recovery,CAPEX (kUSD/year),OPEX (kUSD/year),Status
162.8838591,5.797248567,0.100751526,58.94908175,354.6300112,1
162.8838591,5.797248567,0.09984652,0,0,0
36.2339652,5.797248567,0.050403216,26.79214756,79.7190582,1
36.2339652,5.797248567,0.451654202,190.8114868,763.5714355,1
36.2339652,5.797248567,0.776792261,0,0,0
36.2339652,5.797248567,0.207906701,0,0,0
36.2339652,5.797248567,0.794878435,0,0,0
36.2339652,5.797248567,0.311309167,0,0,0
36.2339652,5.797248567,0.167535726,74.40477443,268.9790288,1
36.2339652,5.797248567,0.724717047,380.8484211,1644.746805,1
36.2339652,5.797248567,0.148120025,66.86945823,237.5414908,1
36.2339652,5.797248567,0.539620808,231.9863531,949.0227198,1
36.2339652,5.797248567,0.367179214,154.6614247,605.4547606,1
36.2339652,5.797248567,0.072326476,37.65076273,113.4436247,1
36.2339652,5.797248567,0.555949449,0,0,0
36.2339652,5.797248567,0.583388578,255.1644901,1054.957181,1
36.2339652,5.797248567,0.110937441,52.57309803,177.1782753,1
36.2339652,5.797248567,0.100751526,48.67896261,160.5113556,1
36.2339652,5.797248567,0.09984652,48.33315955,159.0258473,1
36.2339652,5.797248567,0.821439899,0,0,0
67.87071605,5.797248567,0.050403216,26.62392597,93.46526765,1
67.87071605,5.797248567,0.451654202,0,0,0
67.87071605,5.797248567,0.207906701,90.25635486,378.9633118,1
67.87071605,5.797248567,0.311309167,138.4345787,587.0752854,1
67.87071605,5.797248567,0.167535726,72.78125838,304.1297212,1
67.87071605,5.797248567,0.724717047,539.0720596,3721.767514,1
67.87071605,5.797248567,0.148120025,64.58555082,268.9806575,1
67.87071605,5.797248567,0.539620808,0,0,0
67.87071605,5.797248567,0.367179214,0,0,0
67.87071605,5.797248567,0.072326476,34.04862393,134.1779673,1
67.87071605,5.797248567,0.555949449,306.0020365,1448.931392,1
67.87071605,5.797248567,0.583388578,327.8566911,1630.796119,1
67.87071605,5.797248567,0.110937441,0,0,0
67.87071605,5.797248567,0.100751526,0,0,0
67.87071605,5.797248567,0.09984652,44.81722796,183.0822079,1
121.866153,6.435175869,0.050403216,30.00399717,144.005338,1
121.866153,6.435175869,0.451654202,341.0970167,2268.926717,1
121.866153,6.435175869,0.207906701,122.7605379,623.5020008,1
121.866153,6.435175869,0.311309167,0,0,0
121.866153,6.435175869,0.167535726,97.22398243,479.0014546,1
121.866153,6.435175869,0.148120025,85.58958946,417.5306296,1
121.866153,6.435175869,0.539620808,458.1589717,3580.743956,1
121.866153,6.435175869,0.367179214,251.5553707,1489.893722,1
121.866153,6.435175869,0.072326476,41.2346094,200.6754445,1
121.866153,6.435175869,0.555949449,0,0,0
121.866153,6.435175869,0.583388578,528.5462515,4581.174295,1
121.866153,6.435175869,0.110937441,63.61243233,306.7477765,1
121.866153,6.435175869,0.100751526,0,0,0
121.866153,6.435175869,0.09984652,57.13790543,275.3795944,1
185.4983298,6.435175869,0.050403216,0,0,0
185.4983298,6.435175869,0.207906701,0,0,0
185.4983298,6.435175869,0.311309167,260.7252486,2240.563853,1
185.4983298,6.435175869,0.167535726,123.9546803,887.2888853,1
185.4983298,6.435175869,0.148120025,107.9320657,758.0776912,1
185.4983298,6.435175869,0.367179214,0,0,0
185.4983298,6.435175869,0.072326476,49.88592222,331.7394657,1
185.4983298,6.435175869,0.110937441,0,0,0
185.4983298,6.435175869,0.100751526,0,0,0
185.4983298,6.435175869,0.09984652,0,0,0
80.39032929,6.435175869,0.050403216,29.72311566,111.2894882,1
